,Ciudad,genero,edad,SensaciónVisual,SensaciónVisualNormalizada,PreferenciaVisual,PreferenciaVisualNormalizado,SensaciónTérmica,SensaciónTérmicaNormalizada,PreferenciaTérmica,PreferenciaTérmicaNormalizado,EV_media,Rango_EV_media,TEMP,HUMEDAD
0,Armenia,F,23.0,2.0,0.0,-1.0,0.5,2.0,0.33,-2.0,0.33,796.0,4.0,28.9,50.2
1,Armenia,F,23.0,2.0,0.0,-1.0,0.5,2.0,0.33,-2.0,0.33,779.0,4.0,29.1,50.2
2,Armenia,F,23.0,1.0,0.5,-1.0,0.5,2.0,0.33,-2.0,0.33,530.0,4.0,29.2,50.7
3,Armenia,F,23.0,1.0,0.5,0.0,1.0,1.0,0.67,-1.0,0.67,622.0,4.0,29.4,50.0
4,Armenia,M,20.0,0.0,1.0,1.0,0.5,3.0,0.0,-1.0,0.67,202.0,2.0,28.9,50.2
5,Armenia,M,20.0,0.0,1.0,1.0,0.5,3.0,0.0,-1.0,0.67,195.0,2.0,29.1,50.2
6,Armenia,M,20.0,-1.0,0.5,1.0,0.5,3.0,0.0,-1.0,0.67,165.0,2.0,29.2,50.7
7,Armenia,F,17.0,0.0,1.0,0.0,1.0,0.0,1.0,-2.0,0.33,384.0,3.0,28.9,50.2
8,Armenia,F,17.0,1.0,0.5,0.0,1.0,0.0,1.0,-2.0,0.33,329.0,3.0,29.1,50.2
9,Armenia,F,17.0,-2.0,0.0,0.0,1.0,0.0,1.0,-2.0,0.33,230.0,2.0,29.2,50.7
10,Armenia,F,17.0,-2.0,0.0,0.0,1.0,2.0,0.33,-3.0,0.0,241.0,2.0,29.4,50.0
11,Armenia,M,20.0,0.0,1.0,0.0,1.0,0.0,1.0,-2.0,0.33,514.0,4.0,29.1,50.2
12,Armenia,M,20.0,-1.0,0.5,2.0,0.0,0.0,1.0,-2.0,0.33,324.0,3.0,29.2,50.7
13,Armenia,M,20.0,-1.0,0.5,2.0,0.0,0.0,1.0,-1.0,0.67,316.0,3.0,29.4,50.0
14,Armenia,F,18.0,0.0,1.0,0.0,1.0,3.0,0.0,-3.0,0.0,197.0,2.0,28.9,50.2
15,Armenia,F,18.0,0.0,1.0,0.0,1.0,3.0,0.0,-3.0,0.0,178.0,2.0,29.1,50.2
16,Armenia,F,18.0,1.0,0.5,0.0,1.0,2.0,0.33,-2.0,0.33,115.0,2.0,29.2,50.7
17,Armenia,F,18.0,0.0,1.0,0.0,1.0,3.0,0.0,-2.0,0.33,142.0,2.0,29.4,50.0
18,Armenia,F,16.0,1.0,0.5,0.0,1.0,2.0,0.33,-2.0,0.33,625.0,4.0,28.9,50.2
19,Armenia,F,16.0,1.0,0.5,1.0,0.5,3.0,0.0,-2.0,0.33,517.0,4.0,29.1,50.2
20,Armenia,F,16.0,0.0,1.0,0.0,1.0,3.0,0.0,-2.0,0.33,349.0,3.0,29.2,50.7
21,Armenia,F,16.0,1.0,0.5,-2.0,0.0,2.0,0.33,-2.0,0.33,343.0,3.0,29.4,50.0
22,Armenia,M,21.0,1.0,0.5,-1.0,0.5,1.0,0.67,-3.0,0.0,469.0,3.0,28.9,50.2
23,Armenia,M,21.0,0.0,1.0,1.0,0.5,2.0,0.33,-2.0,0.33,387.0,3.0,29.1,50.2
24,Armenia,M,21.0,0.0,1.0,0.0,1.0,2.0,0.33,-2.0,0.33,259.0,2.0,29.2,50.7
25,Armenia,F,17.0,1.0,0.5,1.0,0.5,1.0,0.67,-1.0,0.67,249.0,2.0,28.9,50.2
26,Armenia,F,17.0,1.0,0.5,1.0,0.5,1.0,0.67,-2.0,0.33,216.0,2.0,29.1,50.2
27,Armenia,F,17.0,0.0,1.0,1.0,0.5,0.0,1.0,-1.0,0.67,143.0,2.0,29.2,50.7
28,Armenia,F,17.0,0.0,1.0,1.0,0.5,1.0,0.67,-1.0,0.67,156.0,2.0,29.4,50.0
29,Armenia,M,17.0,0.0,1.0,0.0,1.0,0.0,1.0,-3.0,0.0,533.0,4.0,28.9,50.2
30,Armenia,M,17.0,0.0,1.0,0.0,1.0,0.0,1.0,-3.0,0.0,455.0,3.0,29.1,50.2
31,Armenia,M,17.0,0.0,1.0,0.0,1.0,1.0,0.67,-3.0,0.0,243.0,2.0,29.2,50.7
32,Armenia,M,17.0,0.0,1.0,0.0,1.0,1.0,0.67,-3.0,0.0,259.0,2.0,29.4,50.0
33,Armenia,F,18.0,1.0,0.5,2.0,0.0,2.0,0.33,-2.0,0.33,345.0,3.0,28.9,50.2
34,Armenia,F,18.0,1.0,0.5,2.0,0.0,2.0,0.33,-2.0,0.33,307.0,3.0,29.1,50.2
35,Armenia,F,18.0,1.0,0.5,2.0,0.0,2.0,0.33,-2.0,0.33,152.0,2.0,29.2,50.7
36,Armenia,F,18.0,1.0,0.5,2.0,0.0,2.0,0.33,-2.0,0.33,160.0,2.0,29.4,50.0
37,Armenia,M,23.0,0.0,1.0,0.0,1.0,1.0,0.67,-1.0,0.67,161.0,2.0,28.9,50.2
38,Armenia,M,23.0,0.0,1.0,0.0,1.0,1.0,0.67,-1.0,0.67,161.0,2.0,29.1,50.2
39,Armenia,M,23.0,0.0,1.0,0.0,1.0,2.0,0.33,-1.0,0.67,56.0,1.0,29.2,50.7
40,Armenia,F,19.0,0.0,1.0,1.0,0.5,0.0,1.0,-2.0,0.33,337.0,3.0,24.2,68.4
41,Armenia,F,19.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,480.0,3.0,24.6,66.0
42,Armenia,F,19.0,-1.0,0.5,0.0,1.0,-1.0,0.67,1.0,0.67,474.0,3.0,24.8,65.9
43,Armenia,F,19.0,-1.0,0.5,1.0,0.5,0.0,1.0,0.0,1.0,536.0,4.0,25.0,65.6
44,Armenia,F,19.0,1.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,304.0,3.0,25.2,64.9
45,Armenia,F,20.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,245.0,2.0,24.2,68.4
46,Armenia,F,20.0,-1.0,0.5,1.0,0.5,-1.0,0.67,0.0,1.0,303.0,3.0,24.6,66.0
47,Armenia,F,20.0,-1.0,0.5,1.0,0.5,-1.0,0.67,0.0,1.0,326.0,3.0,24.8,65.9
48,Armenia,F,20.0,-1.0,0.5,2.0,0.0,-2.0,0.33,1.0,0.67,372.0,3.0,25.0,65.6
49,Armenia,F,20.0,-1.0,0.5,1.0,0.5,-2.0,0.33,0.0,1.0,285.0,2.0,25.2,64.9
50,Armenia,M,20.0,0.0,1.0,1.0,0.5,0.0,1.0,-3.0,0.0,180.0,2.0,24.2,68.4
51,Armenia,M,20.0,0.0,1.0,1.0,0.5,0.0,1.0,-3.0,0.0,191.0,2.0,24.6,66.0
52,Armenia,M,20.0,0.0,1.0,1.0,0.5,0.0,1.0,-3.0,0.0,206.0,2.0,24.8,65.9
53,Armenia,M,20.0,0.0,1.0,1.0,0.5,0.0,1.0,-3.0,0.0,210.0,2.0,25.0,65.6
54,Armenia,M,20.0,0.0,1.0,1.0,0.5,0.0,1.0,-3.0,0.0,206.0,2.0,25.2,64.9
55,Armenia,F,21.0,0.0,1.0,-1.0,0.5,0.0,1.0,-2.0,0.33,402.0,3.0,24.2,68.4
56,Armenia,F,21.0,0.0,1.0,-1.0,0.5,-1.0,0.67,-3.0,0.0,413.0,3.0,24.6,66.0
57,Armenia,F,21.0,0.0,1.0,-2.0,0.0,1.0,0.67,-3.0,0.0,465.0,3.0,24.8,65.9
58,Armenia,F,21.0,1.0,0.5,-2.0,0.0,2.0,0.33,-3.0,0.0,468.0,3.0,25.0,65.6
59,Armenia,F,20.0,0.0,1.0,1.0,0.5,-2.0,0.33,0.0,1.0,263.0,2.0,24.2,68.4
60,Armenia,F,20.0,0.0,1.0,0.0,1.0,-2.0,0.33,0.0,1.0,287.0,2.0,24.6,66.0
61,Armenia,F,20.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,1.0,312.0,3.0,24.8,65.9
62,Armenia,F,20.0,0.0,1.0,0.0,1.0,-1.0,0.67,0.0,1.0,304.0,3.0,25.0,65.6
63,Armenia,F,20.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,320.0,3.0,25.2,64.9
64,Armenia,F,21.0,-2.0,0.0,1.0,0.5,1.0,0.67,-3.0,0.0,343.0,3.0,24.2,68.4
65,Armenia,F,21.0,2.0,0.0,-2.0,0.0,3.0,0.0,-3.0,0.0,361.0,3.0,24.6,66.0
66,Armenia,F,21.0,0.0,1.0,0.0,1.0,0.0,1.0,-2.0,0.33,385.0,3.0,24.8,65.9
67,Armenia,F,21.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,391.0,3.0,25.0,65.6
68,Armenia,F,21.0,1.0,0.5,-2.0,0.0,1.0,0.67,-2.0,0.33,451.0,3.0,25.2,64.9
69,Armenia,M,23.0,0.0,1.0,0.0,1.0,-1.0,0.67,0.0,1.0,233.0,2.0,24.2,68.4
70,Armenia,M,23.0,0.0,1.0,0.0,1.0,-1.0,0.67,0.0,1.0,249.0,2.0,24.6,66.0
71,Armenia,M,23.0,0.0,1.0,0.0,1.0,-1.0,0.67,-1.0,0.67,259.0,2.0,24.8,65.9
72,Armenia,M,23.0,0.0,1.0,0.0,1.0,-1.0,0.67,-1.0,0.67,279.0,2.0,25.0,65.6
73,Armenia,M,23.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.67,305.0,3.0,25.2,64.9
74,Armenia,F,19.0,2.0,0.0,-1.0,0.5,1.0,0.67,0.0,1.0,123.0,2.0,24.2,68.4
75,Armenia,F,19.0,-1.0,0.5,2.0,0.0,-3.0,0.0,0.0,1.0,129.0,2.0,24.6,66.0
76,Armenia,F,19.0,-2.0,0.0,0.0,1.0,-3.0,0.0,1.0,0.67,143.0,2.0,24.8,65.9
77,Armenia,F,19.0,0.0,1.0,-1.0,0.5,0.0,1.0,0.0,1.0,149.0,2.0,25.0,65.6
78,Armenia,F,19.0,2.0,0.0,-1.0,0.5,2.0,0.33,-2.0,0.33,156.0,2.0,25.2,64.9
79,Armenia,M,23.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.67,121.0,2.0,24.2,68.4
80,Armenia,M,23.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.67,129.0,2.0,24.6,66.0
81,Armenia,M,23.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.67,160.0,2.0,24.8,65.9
82,Armenia,M,23.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,129.0,2.0,25.0,65.6
83,Armenia,M,23.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,175.0,2.0,25.2,64.9
84,Armenia,M,19.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,35.0,1.0,24.2,68.4
85,Armenia,M,19.0,0.0,1.0,0.0,1.0,-2.0,0.33,1.0,0.67,49.0,1.0,24.6,66.0
86,Armenia,M,19.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,56.0,1.0,24.8,65.9
87,Armenia,M,19.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,56.0,1.0,25.0,65.6
88,Armenia,M,19.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,63.0,1.0,25.2,64.9
89,Armenia,M,26.0,0.0,1.0,2.0,0.0,1.0,0.67,-3.0,0.0,947.0,4.0,28.5,56.2
90,Armenia,M,26.0,1.0,0.5,2.0,0.0,1.0,0.67,-3.0,0.0,923.0,4.0,28.5,55.4
91,Armenia,M,26.0,-1.0,0.5,2.0,0.0,1.0,0.67,-2.0,0.33,713.0,4.0,28.6,55.3
92,Armenia,M,26.0,0.0,1.0,1.0,0.5,-1.0,0.67,-2.0,0.33,773.0,4.0,28.4,55.9
93,Armenia,M,26.0,-1.0,0.5,1.0,0.5,1.0,0.67,-3.0,0.0,603.0,4.0,28.5,56.0
94,Armenia,M,26.0,-1.0,0.5,1.0,0.5,-1.0,0.67,-2.0,0.33,591.0,4.0,28.4,56.2
95,Armenia,F,21.0,1.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,446.0,3.0,28.5,56.2
96,Armenia,F,21.0,-2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,435.0,3.0,28.5,55.4
