,Ciudad,genero,edad,P1.1,P6 bien,P2.1,P7 bien,Rango_EH_media,Rango_EV_media,TEMP,HUMEDAD,sens_vis_term_orig,pref_vis_term_orig
0,Cartagena,F,26.0,-1.0,1.0,1.0,-1.0,1.0,1.0,28.5,50.2,1.0-1.01.0,-1.01.01.0
1,Cartagena,F,26.0,2.0,1.0,1.0,-2.0,1.0,1.0,28.9,51.1,1.02.01.0,-2.01.01.0
2,Cartagena,F,26.0,0.0,1.0,2.0,-1.0,1.0,1.0,28.7,50.8,1.00.01.0,-1.02.01.0
3,Cartagena,F,26.0,-1.0,1.0,1.0,-1.0,1.0,1.0,29.0,51.8,1.0-1.01.0,-1.01.01.0
4,Cartagena,F,26.0,-1.0,1.0,1.0,-1.0,1.0,1.0,28.9,52.1,1.0-1.01.0,-1.01.01.0
5,Cartagena,F,23.0,1.0,3.0,0.0,-2.0,1.0,2.0,28.5,50.2,3.01.02.0,-2.00.02.0
6,Cartagena,F,23.0,0.0,3.0,1.0,-2.0,1.0,2.0,28.9,51.1,3.00.02.0,-2.01.02.0
7,Cartagena,F,23.0,1.0,1.0,0.0,-1.0,1.0,2.0,28.7,50.8,1.01.02.0,-1.00.02.0
8,Cartagena,F,23.0,1.0,0.0,2.0,-1.0,1.0,2.0,29.0,51.8,0.01.02.0,-1.02.02.0
9,Cartagena,F,23.0,1.0,0.0,2.0,-1.0,1.0,2.0,28.9,52.1,0.01.02.0,-1.02.02.0
10,Cartagena,M,24.0,-1.0,0.0,2.0,-1.0,1.0,1.0,28.5,50.2,0.0-1.01.0,-1.02.01.0
11,Cartagena,M,24.0,-1.0,0.0,2.0,-1.0,1.0,1.0,28.9,51.1,0.0-1.01.0,-1.02.01.0
12,Cartagena,M,24.0,-1.0,-1.0,2.0,-1.0,1.0,1.0,28.7,50.8,-1.0-1.01.0,-1.02.01.0
13,Cartagena,M,24.0,-1.0,1.0,2.0,-1.0,1.0,1.0,29.0,51.8,1.0-1.01.0,-1.02.01.0
14,Cartagena,M,24.0,-1.0,0.0,2.0,-1.0,1.0,1.0,28.9,52.1,0.0-1.01.0,-1.02.01.0
15,Cartagena,F,21.0,-1.0,0.0,2.0,0.0,1.0,1.0,28.5,50.2,0.0-1.01.0,0.02.01.0
16,Cartagena,F,21.0,-1.0,0.0,2.0,0.0,1.0,1.0,28.9,51.1,0.0-1.01.0,0.02.01.0
17,Cartagena,F,21.0,-1.0,0.0,2.0,0.0,1.0,1.0,28.7,50.8,0.0-1.01.0,0.02.01.0
18,Cartagena,F,21.0,-1.0,0.0,1.0,0.0,1.0,1.0,29.0,51.8,0.0-1.01.0,0.01.01.0
19,Cartagena,F,21.0,-1.0,0.0,1.0,0.0,1.0,1.0,28.9,52.1,0.0-1.01.0,0.01.01.0
20,Cartagena,M,22.0,-1.0,2.0,1.0,-2.0,1.0,1.0,28.4,51.5,2.0-1.01.0,-2.01.01.0
21,Cartagena,M,22.0,-1.0,0.0,2.0,-2.0,1.0,1.0,28.6,52.4,0.0-1.01.0,-2.02.01.0
22,Cartagena,M,22.0,-2.0,0.0,2.0,-1.0,1.0,1.0,28.6,51.8,0.0-2.01.0,-1.02.01.0
23,Cartagena,M,22.0,0.0,-1.0,1.0,-1.0,1.0,1.0,28.8,53.5,-1.00.01.0,-1.01.01.0
24,Cartagena,M,22.0,0.0,-1.0,1.0,0.0,1.0,1.0,28.7,52.9,-1.00.01.0,0.01.01.0
25,Cartagena,F,22.0,1.0,1.0,2.0,-3.0,1.0,1.0,28.4,51.5,1.01.01.0,-3.02.01.0
26,Cartagena,F,22.0,2.0,0.0,1.0,-1.0,1.0,1.0,28.6,52.4,0.02.01.0,-1.01.01.0
27,Cartagena,F,22.0,0.0,1.0,2.0,-3.0,1.0,1.0,28.6,51.8,1.00.01.0,-3.02.01.0
28,Cartagena,F,22.0,1.0,1.0,1.0,-3.0,1.0,1.0,28.8,53.5,1.01.01.0,-3.01.01.0
29,Cartagena,F,22.0,0.0,1.0,2.0,-3.0,1.0,1.0,28.7,52.9,1.00.01.0,-3.02.01.0
30,Cartagena,M,22.0,-1.0,0.0,1.0,0.0,1.0,1.0,28.5,50.2,0.0-1.01.0,0.01.01.0
31,Cartagena,M,22.0,-1.0,0.0,1.0,0.0,1.0,1.0,28.9,51.1,0.0-1.01.0,0.01.01.0
32,Cartagena,M,22.0,-1.0,0.0,1.0,0.0,1.0,1.0,28.7,50.8,0.0-1.01.0,0.01.01.0
33,Cartagena,M,22.0,-1.0,0.0,1.0,0.0,1.0,1.0,29.0,51.8,0.0-1.01.0,0.01.01.0
34,Cartagena,M,22.0,-1.0,0.0,2.0,0.0,1.0,1.0,28.9,52.1,0.0-1.01.0,0.02.01.0
35,Cartagena,F,24.0,1.0,1.0,1.0,-1.0,1.0,1.0,28.5,50.2,1.01.01.0,-1.01.01.0
36,Cartagena,F,24.0,0.0,1.0,1.0,-1.0,1.0,1.0,28.9,51.1,1.00.01.0,-1.01.01.0
37,Cartagena,F,24.0,1.0,1.0,1.0,-1.0,1.0,1.0,28.7,50.8,1.01.01.0,-1.01.01.0
38,Cartagena,F,24.0,0.0,0.0,1.0,-2.0,1.0,1.0,29.0,51.8,0.00.01.0,-2.01.01.0
39,Cartagena,F,24.0,0.0,0.0,1.0,-1.0,1.0,1.0,28.9,52.1,0.00.01.0,-1.01.01.0
40,Cartagena,M,20.0,1.0,1.0,0.0,-1.0,1.0,1.0,29.3,56.2,1.01.01.0,-1.00.01.0
41,Cartagena,M,20.0,1.0,1.0,0.0,-1.0,1.0,1.0,29.5,56.8,1.01.01.0,-1.00.01.0
42,Cartagena,M,20.0,1.0,1.0,0.0,-1.0,1.0,1.0,29.8,57.9,1.01.01.0,-1.00.01.0
43,Cartagena,M,20.0,1.0,1.0,0.0,-1.0,1.0,1.0,29.7,58.3,1.01.01.0,-1.00.01.0
44,Cartagena,M,20.0,1.0,1.0,0.0,0.0,1.0,1.0,29.5,58.1,1.01.01.0,0.00.01.0
45,Cartagena,M,27.0,0.0,0.0,0.0,-1.0,2.0,1.0,29.3,56.2,0.00.01.0,-1.00.01.0
46,Cartagena,M,27.0,0.0,1.0,1.0,-1.0,2.0,1.0,29.5,56.8,1.00.01.0,-1.01.01.0
47,Cartagena,M,27.0,-1.0,0.0,1.0,-1.0,2.0,1.0,29.8,57.9,0.0-1.01.0,-1.01.01.0
48,Cartagena,M,27.0,-1.0,-1.0,1.0,-1.0,2.0,1.0,29.7,58.3,-1.0-1.01.0,-1.01.01.0
49,Cartagena,M,27.0,-1.0,-1.0,2.0,-1.0,2.0,1.0,29.5,58.1,-1.0-1.01.0,-1.02.01.0
50,Cartagena,M,21.0,-1.0,0.0,2.0,0.0,1.0,1.0,29.3,56.2,0.0-1.01.0,0.02.01.0
51,Cartagena,M,21.0,-1.0,0.0,2.0,-1.0,1.0,1.0,29.5,56.8,0.0-1.01.0,-1.02.01.0
52,Cartagena,M,21.0,-1.0,0.0,2.0,0.0,1.0,1.0,29.8,57.9,0.0-1.01.0,0.02.01.0
